,Response.No,Tab.No,Survey.Date,AC.Name,Mandal.Name,Village.Name
95,319,305,29-06-15,Nandigama,Veerullapadu,Peddapuram
96,323,248,14-06-15,Nandigama,Chanderlapadu,Kodavatikallu
97,323,305,30-06-15,Nandigama,Veerullapadu,Peddapuram
98,329,269,25-06-15,Mylavaram,Reddygudem,Reddygudem
99,330,74,22-06-15,NA,NA,NA
100,332,147,19-06-15,Jaggaiahpeta,Jaggaiahpeta,S M Peta
101,332,176,15-06-15,Mylavaram,G. Konduru,Kavuluru
102,333,488,11-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
103,333,472,17-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
104,334,458,06-06-15,Tiruvuru,Gampalagudem,ARLAPADU
105,334,180,23-06-15,Mylavaram,G. Konduru,Gaddamanugu
106,334,402,29-06-15,Tiruvuru,A.Konduru,Ramachandrapuram
107,334,10,30-06-15,Nandigama,Kanchikacherla,Gottimukkala
108,335,389,05-06-15,Tiruvuru,A.Konduru,Cheemalapadu
109,338,428,25-05-15,Nandigama,Veerullapadu,Thati Gummi
110,338,326,03-07-15,Tiruvuru,Tiruvuru,G.Kothuru
111,341,290,13-06-15,Mylavaram,Reddygudem,kudapa
112,341,300,09-07-15,Nandigama,Chanderlapadu,Konayapalem
113,342,173,26-06-15,Mylavaram,G. Konduru,Kavuluru
114,343,360,26-05-15,Mylavaram,Mylavaram,k.r.gudem
115,344,431,05-07-15,Tiruvuru,Vissannapeta,Vissannapeta
116,345,329,05-06-15,Tiruvuru,Tiruvuru,Rolupadi
117,347,473,27-05-15,Jaggaiahpeta,Penuganchiprolu,Lingaguduam
118,348,382,03-06-15,Tiruvuru,A.Konduru,Polishettipadu
119,349,424,10-06-15,Nandigama,Veerullapadu,Ponnavaram
120,351,109,23-06-15,Nandigama,Veerullapadu,Dodda Devara Padu
121,353,301,19-06-15,Nandigama,Nandigama,Lingalapadu
122,355,93,08-06-15,Mylavaram,Vijayawada (R),Kottur tadepalli
123,356,431,02-07-15,Tiruvuru,Vissannapeta,Vissannapeta
124,359,249,07-06-15,Jaggaiahpeta,Jaggaiahpeta,Balusupadu
125,361,63,29-05-15,Mylavaram,Ibrahimpatnam,Elaprolu
126,361,21,24-06-15,Nandigama,Veerullapadu,G.Madhavaram
127,362,414,22-05-15,Tiruvuru,Tiruvuru,Vamakuntla
128,362,405,03-07-15,Tiruvuru,A.Konduru,Khampampadu
129,369,290,01-07-15,NA,NA,NA
130,370,299,16-06-15,Jaggaiahpeta,Nadigama,Jonnalagadda
131,372,128,24-05-15,Jaggaiahpeta,Vatsavai,Talluru
132,374,358,13-06-15,Tiruvuru,Tiruvuru,Vavilala
133,377,208,10-06-15,Nandigama,Kanchikacherla,Pendyala
134,379,489,14-07-15,NA,NA,NA
135,379,175,09-07-15,Mylavaram,G. Konduru,G.kondur
136,379,311,23-07-15,NA,NA,NA
137,381,207,22-05-15,Nandigama,Kanchikacherla,Perakalapadu
138,382,380,24-07-15,NA,NA,NA
139,383,181,12-06-15,Mylavaram,G. Konduru,Koduru
140,384,208,04-06-15,Nandigama,Kanchikacherla,Pendyala
141,387,246,19-07-15,Mylavaram,Ibrahimpatnam,Kondapalli
142,388,39,11-06-15,Nandigama,Veerullapadu,Vellanki
143,388,262,16-07-15,Mylavaram,Ibrahimpatnam,Kondapalli
144,394,460,03-07-15,Tiruvuru,Gampalagudem,PENUGOLANU
145,396,216,06-07-15,Nandigama,Chanderlapadu,Muppalla
146,397,327,25-05-15,Tiruvuru,Tiruvuru,Vamakuntla
147,401,422,11-07-15,Tiruvuru,Vissannapeta,Vissannapeta
148,404,277,22-06-15,Mylavaram,Reddygudem,Reddygudem
149,404,467,07-07-15,Tiruvuru,Gampalagudem,VUTUKURU
150,408,37,23-06-15,Nandigama,Veerullapadu,G.Madhavaram
151,409,198,09-07-15,Mylavaram,G. Konduru,G.kondur
152,412,47,09-06-15,Nandigama,Veerullapadu,Jagannadhapuram
153,414,49,10-06-15,Tiruvuru,Vissannapeta,Narasapuram
154,414,455,03-07-15,Tiruvuru,Gampalagudem,PENUGOLANU
155,415,214,01-06-15,Nandigama,Kanchikacherla,Athukuru
156,418,464,08-06-15,Tiruvuru,Gampalagudem,ARLAPADU
157,418,478,18-06-15,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
158,418,287,18-07-15,Mylavaram,Ibrahimpatnam,Kondapalli
159,419,214,07-06-15,Nandigama,Kanchikacherla,Pendyala
160,420,238,03-07-15,Tiruvuru,A.Konduru,Khampampadu
161,423,407,02-07-15,Tiruvuru,A.Konduru,Ramachandrapuram
162,424,358,26-05-15,Mylavaram,Mylavaram,Pondugala
163,426,352,17-07-15,NA,NA,NA
164,426,204,21-07-15,Nandigama,Kanchikacherla,Kanchikacherla
165,427,278,31-05-15,Mylavaram,Reddygudem,Rangapuram
166,427,162,11-06-15,Nandigama,Chanderlapadu,Chinthalapadu
167,427,124,10-07-15,Jaggaiahpeta,Vatsavai,Vatsavai
168,429,193,30-05-15,Mylavaram,G. Konduru,Kuntamukkala
169,431,467,05-06-15,Tiruvuru,Gampalagudem,ARLAPADU
170,434,269,23-05-15,Mylavaram,Reddygudem,Rudra varam
171,435,317,06-06-15,Jaggaiahpeta,Nadigama,Somavaram
172,436,41,13-06-15,Nandigama,Veerullapadu,Vellanki
173,436,251,09-07-15,Nandigama,Chanderlapadu,Muppalla
174,437,262,31-05-15,Mylavaram,Reddygudem,K-Naguluru
175,437,356,24-06-15,Mylavaram,Reddygudem,Reddygudem
